Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp,fnr
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,2.6,knn,baseline,,,0.1782338021673968,4,0,{'classification__n_neighbors': 1},0.7912341407151096,0.4290220820189274,0.6533436027546212,0.3014737050990928,0.419753086419753,0.4387096774193548,0.8679775280898876,0.1320224719101123,0.5922765892716356,0.6170819567574177,0.7640764513867984,0.2844957619002341,618,94,87,68,0.5612903225806452
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,2.6,knn,baseline,,,0.1782338021673968,4,1,{'classification__n_neighbors': 1},0.5751412429378531,0.3517241379310344,0.553412485755644,0.1355448445965735,0.6035502958579881,0.2481751824817518,0.8586497890295358,0.1413502109704641,0.459065420601649,0.4616227551587148,0.5972871146460023,0.4989387471843528,407,67,309,102,0.7518248175182481
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,2.6,naive_bayes,baseline,,,0.1782338021673968,0,0,{},0.7960829493087558,0.3610108303249097,0.6107994389901823,0.2441905438107324,0.4098360655737705,0.3225806451612903,0.8990182328190743,0.1009817671809256,0.5156993188043835,0.538521941572059,0.7785266960975903,0.2531729243786356,641,72,105,50,0.6774193548387096
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,2.6,naive_bayes,baseline,,,0.1782338021673968,1,0,{},0.8214285714285714,0.4363636363636363,0.6514726507713885,0.3361502304730807,0.5,0.3870967741935484,0.9158485273492286,0.0841514726507713,0.5625460969694935,0.5954175094728053,0.8004589740786547,0.3029953917050691,653,60,95,60,0.6129032258064516
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,2.6,naive_bayes,baseline,,,0.1782338021673968,2,0,{},0.7935409457900807,0.3932203389830508,0.6301069197282382,0.269499304931426,0.4113475177304964,0.3766233766233766,0.8835904628330996,0.1164095371669004,0.5515863545141314,0.5768715833393201,0.7714443727762058,0.2656497346919197,630,83,96,58,0.6233766233766234
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,2.6,naive_bayes,baseline,,,0.1782338021673968,3,0,{},0.7993079584775087,0.3916083916083916,0.62852224913936,0.2734530696800564,0.4242424242424242,0.3636363636363636,0.8934081346423562,0.1065918653576437,0.5437541762128817,0.5699786709382143,0.7785568531861926,0.2673034211253777,637,76,98,56,0.6363636363636364
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,2.6,naive_bayes,baseline,,,0.1782338021673968,4,0,{},0.8108419838523645,0.4225352112676056,0.6450933309169988,0.3124354154010212,0.4651162790697674,0.3870967741935484,0.9030898876404494,0.0969101123595505,0.5612278871204923,0.5912555981235459,0.7888607996133616,0.2896182523139435,643,69,95,60,0.6129032258064516
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,2.6,naive_bayes,baseline,,,0.1782338021673968,1,1,{},0.5988700564971752,0.507628294036061,0.588661492500539,0.1853789192791675,0.5903225806451613,0.4452554744525547,0.7320675105485233,0.2679324894514768,0.5643801499423345,0.5709264985447631,0.5407287949683857,0.5204714793692856,347,127,228,183,0.5547445255474452
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,poi,not,2.6,decision_tree,baseline,,,0.1782338021673968,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 7; 'classification__max_features': 'log2'},0.8110599078341014,0.3333333333333333,0.597194950911641,0.2430262070695399,0.4505494505494505,0.2645161290322581,0.9298737727910238,0.0701262272089761,0.4775757412809686,0.4959502100688163,0.7998624556422614,0.2505140021269054,663,50,114,41,0.7354838709677419
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,poi,not,2.6,decision_tree,baseline,,,0.1782338021673968,1,0,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'log2'},0.8387096774193549,0.44,0.6493688639551193,0.3664790373578291,0.5789473684210527,0.3548387096774194,0.9438990182328192,0.0561009817671809,0.5420805689392846,0.5787330210861624,0.8225053821588266,0.3206403104535532,673,40,100,55,0.6451612903225806
