Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_random_forest_cross,ant,not,1.6,random_forest,over_sample,borderline_smote,None,0.5,3,0,{'classification__criterion': 'gini'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 40},0.7601668404588112,0.44711538461538464,0.635329015247048,0.30726794910911737,0.5406976744186046,0.38114754098360654,0.8895104895104895,0.11048951048951049,0.5554854906986451,0.5822668939206893,0.7261320193110371,0.36354127202333414,636,79,151,93
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_random_forest_cross,ant,not,1.6,random_forest,over_sample,borderline_smote,None,0.5,4,0,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 60},0.7933194154488518,0.5540540540540541,0.6985409652076319,0.42431688463218037,0.6119402985074627,0.5061728395061729,0.8909090909090909,0.10909090909090909,0.6423926099143943,0.6715310746996878,0.7458372535160817,0.43500851883780667,637,78,120,123
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_random_forest_cross,ant,not,1.6,random_forest,over_sample,borderline_smote,None,0.5,2,1,{'classification__criterion': 'entropy'; 'classification__max_features': None; 'classification__n_estimators': 90},0.5738636363636364,0.4966442953020134,0.6483277591973244,0.2645592684970486,0.3592233009708738,0.8043478260869565,0.49230769230769234,0.5076923076923077,0.6152720100858007,0.6292746793520129,0.5666032440627262,0.34007684485206646,128,132,18,74
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_svm_cross,ant,not,1.6,svm,over_sample,borderline_smote,None,0.5,0,0,{'classification__coef0': 0; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7872784150156413,0.41714285714285715,0.6264627445570959,0.349414207845348,0.6822429906542056,0.3004115226337449,0.952513966480447,0.04748603351955307,0.5041779749531818,0.5349263229644797,0.7705528026945007,0.38222164311559526,682,34,170,73
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_svm_cross,ant,not,1.6,svm,over_sample,borderline_smote,None,0.5,1,0,{'classification__coef0': 1; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.786235662148071,0.450402144772118,0.6407166011449065,0.3575905546335562,0.6461538461538462,0.345679012345679,0.9357541899441341,0.06424581005586592,0.5351002909257414,0.5687447443082171,0.761459109502248,0.38915952930551473,670,46,159,84
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_svm_cross,ant,not,1.6,svm,over_sample,borderline_smote,None,0.5,2,0,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7914494264859229,0.5024875621890548,0.6673161367450628,0.39136674145104644,0.6352201257861635,0.4156378600823045,0.9189944134078212,0.08100558659217877,0.5828423465712687,0.6180363026687182,0.7563576227569823,0.41209244095796815,658,58,142,101
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_svm_cross,ant,not,1.6,svm,over_sample,borderline_smote,None,0.5,3,0,{'classification__coef0': 0; 'classification__degree': 0; 'classification__gamma': 'scale'; 'classification__kernel': 'rbf'},0.7841501564129302,0.4169014084507042,0.6257652183881692,0.34243572252786786,0.6666666666666666,0.30327868852459017,0.9482517482517483,0.05174825174825175,0.5059866057367395,0.5362690990547003,0.766439642953737,0.3794537798366924,678,37,170,74
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_svm_cross,ant,not,1.6,svm,over_sample,borderline_smote,None,0.5,4,0,{'classification__coef0': 1; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8121085594989561,0.5360824742268041,0.6853204408759964,0.4499665232130176,0.7172413793103448,0.4279835390946502,0.9426573426573427,0.057342657342657345,0.5934959951625329,0.6351707059240437,0.7791153729052681,0.45206144962262035,674,41,139,104
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_svm_cross,ant,not,1.6,svm,over_sample,borderline_smote,None,0.5,4,1,{'classification__coef0': 1; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7471590909090909,0.586046511627907,0.7270066889632106,0.4183877311118978,0.5121951219512195,0.6847826086956522,0.7692307692307693,0.23076923076923078,0.7237605733692773,0.7257794794858901,0.6736596581852776,0.4331286754073075,200,60,29,63
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_xgboost_cross,ant,not,1.6,xgboost,over_sample,borderline_smote,None,0.5,0,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 200; 'classification__subsample': 0.8},0.786235662148071,0.49877750611246946,0.6651838057797089,0.3798100688785712,0.6144578313253012,0.41975308641975306,0.9106145251396648,0.0893854748603352,0.5848637309054951,0.6182501576757033,0.7496767976753619,0.4049487255010076,652,64,141,102
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_xgboost_cross,ant,not,1.6,xgboost,over_sample,borderline_smote,None,0.5,1,0,{'classification__learning_rate': 0.1; 'classification__max_depth': 5; 'classification__n_estimators': 200; 'classification__subsample': 0.8},0.7893639207507821,0.5213270142180095,0.6781530910177713,0.39774908449145463,0.6145251396648045,0.45267489711934156,0.9036312849162011,0.09636871508379888,0.6070294556266171,0.6395711054552572,0.7485054338440795,0.41686623576187576,647,69,133,110
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_xgboost_cross,ant,not,1.6,xgboost,over_sample,borderline_smote,None,0.5,2,0,{'classification__learning_rate': 0.2; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.7893639207507821,0.5235849056603774,0.6795123801641493,0.399075404926322,0.6132596685082873,0.4567901234567901,0.9022346368715084,0.09776536312849161,0.6097212302714026,0.6419749770540348,0.7479249116036876,0.41777433820826165,646,70,132,111
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_xgboost_cross,ant,not,1.6,xgboost,over_sample,borderline_smote,None,0.5,3,0,{'classification__learning_rate': 0.2; 'classification__max_depth': 7; 'classification__n_estimators': 200; 'classification__subsample': 1.0},0.7674661105318039,0.46522781774580335,0.6456236386564255,0.3298948103343473,0.5606936416184971,0.3975409836065574,0.8937062937062937,0.1062937062937063,0.567417511663147,0.5960577816414871,0.7316442401572085,0.3761833733238067,639,76,147,97
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_xgboost_cross,ant,not,1.6,xgboost,over_sample,borderline_smote,None,0.5,4,0,{'classification__learning_rate': 0.2; 'classification__max_depth': 5; 'classification__n_estimators': 100; 'classification__subsample': 1.0},0.8079331941544885,0.5660377358490566,0.7042562375895709,0.4540583686239433,0.6629834254143646,0.49382716049382713,0.9146853146853147,0.08531468531468532,0.6370333768897714,0.6720836642088928,0.764750867803989,0.4557917067692267,654,61,123,120
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_xgboost_cross,ant,not,1.6,xgboost,over_sample,borderline_smote,None,0.5,4,1,{'classification__learning_rate': 0.2; 'classification__max_depth': 5; 'classification__n_estimators': 100; 'classification__subsample': 1.0},0.4744318181818182,0.45427728613569324,0.5915551839464883,0.17585324903595154,0.3117408906882591,0.8369565217391305,0.34615384615384615,0.6538461538461539,0.5235034267159884,0.5382524677728335,0.5810006875492087,0.3035272079179402,90,170,15,77
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_neuralnet_cross,ant,not,1.6,neuralnet,over_sample,borderline_smote,None,0.5,0,0,{'classification__lr': 0.001; 'classification__max_epochs': 20; 'classification__module__dropout': 0.3},0.7685088633993743,0.3967391304347826,0.6138929121548613,0.29427157213750266,0.584,0.3004115226337449,0,0.07262569832402235,0.5026577990353689,0.5278199750084174,0.7489994572597489,0.35270831670507263,664,52,170,73
