Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_naive_bayes_cross,jEdit,not,4.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{},0.6170886075949367,0.4301412872841444,0.6049105053161848,0.266150970231569,0.7527472527472527,0.3010989010989011,0.9087221095334685,0.09127789046653144,0.5016053775705522,0.5230824300096522,0.6101131594793664,0.5620944085820981,448,45,318,137
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_naive_bayes_cross,jEdit,not,4.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{},0.6065400843881856,0.42170542635658914,0.5946838151706306,0.23633252733123308,0.7157894736842105,0.2989010989010989,0.8904665314401623,0.10953346855983773,0.49823449208976334,0.5159083492076034,0.6018499134730857,0.5504481505614084,439,54,319,136
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_naive_bayes_cross,jEdit,not,4.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{},0.5981012658227848,0.4287856071964018,0.5871631411185163,0.20901872229595264,0.6745283018867925,0.3142857142857143,0.8600405679513184,0.13995943204868155,0.5051299543051517,0.5199023602689947,0.5876227022076821,0.5411085332150534,424,69,312,143
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_naive_bayes_cross,jEdit,not,4.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{},0.5907172995780591,0.4121212121212121,0.5794708334262088,0.1928837246372697,0.6634146341463415,0.2989010989010989,0.8600405679513184,0.13995943204868155,0.4944664641482842,0.5070178210479138,0.5887025863925406,0.5347932534687706,424,69,319,136
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_naive_bayes_cross,jEdit,not,4.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{},0.6166842661034847,0.4406779661016949,0.6053135888501742,0.2607379850973787,0.7371134020618557,0.3142857142857143,0.8963414634146342,0.10365853658536585,0.5096179174155766,0.530761073434338,0.6035487581376704,0.5611256693099518,441,51,312,143
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_naive_bayes_cross,jEdit,not,4.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,1,{},0.6158536585365854,0.06896551724137931,0.6258741258741258,0.076299923470986,0.036458333333333336,0.6363636363636364,0.6153846153846154,0.38461538461538464,0.6257271055489606,0.6257862187747439,0.7106352535697116,0.03133083887657059,296,185,4,7
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_decision_tree_cross,jEdit,not,4.3,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.7078059071729957,0.676779463243874,0.7050910549896351,0.41466418342151534,0.7213930348258707,0.6373626373626373,0.7728194726166329,0.22718052738336714,0.6974137736092678,0.7018306471451211,0.5905886607250482,0.6338396001630462,381,112,165,290
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_decision_tree_cross,jEdit,not,4.3,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.7088607594936709,0.677570093457944,0.7061052537725965,0.4168524578729798,0.7231920199501247,0.6373626373626373,0.7748478701825557,0.22515212981744423,0.6981727825875264,0.7027510811762414,0.5915913393195952,0.634986206066417,382,111,165,290
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_decision_tree_cross,jEdit,not,4.3,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.6919831223628692,0.6769911504424779,0.6912333103002475,0.38269188507528384,0.6815144766146993,0.6725274725274726,0.7099391480730223,0.29006085192697767,0.6906672066609739,0.6909801595573181,0.5737511838082876,0.6155102042291578,350,143,149,306
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_decision_tree_cross,jEdit,not,4.3,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.7035864978902954,0.6908690869086909,0.7030671154403406,0.40616954127163174,0.6916299559471366,0.6901098901098901,0.716024340770791,0.2839756592292089,0.7027845434349282,0.7029477072480833,0.5827212738896168,0.6260348501105765,353,140,141,314
