Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
xerces,1.2.0,1.3.0,knn,baseline,0.1613636363636363,{'classification__n_neighbors': 1},0.7373068432671082,0.1904761904761904,0.5181159420289855,0.0344840400074581,0.1794871794871795,0.2028985507246377,0.8333333333333334,0.1666666666666666,0.4241751576153296,0.4111959698293075,0.7333914917035997
xerces,1.2.0,1.3.0,naive_bayes,baseline,0.1613636363636363,{},0.8388520971302428,0.2912621359223301,0.5839560688405798,0.2289948831374233,0.4411764705882353,0.217391304347826,0.9505208333333334,0.0494791666666666,0.4455071874025667,0.4545711866892972,0.833195298675412
xerces,1.2.0,1.3.0,decision_tree,baseline,0.1613636363636363,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.7836644591611479,0.2222222222222222,0.5454596920289856,0.0985057589986218,0.2456140350877192,0.2028985507246377,0.8880208333333334,0.1119791666666666,0.4308295272046151,0.4244739569121036,0.7767870279128286
xerces,1.2.0,1.3.0,random_forest,baseline,0.1613636363636363,{'classification__criterion': 'log_loss'; 'classification__max_features': None; 'classification__n_estimators': 20},0.7969094922737306,0.2068965517241379,0.5413836050724636,0.0975296191624505,0.2553191489361702,0.1739130434782608,0.9088541666666666,0.0911458333333333,0.4123235487662546,0.3975696092546543,0.7922128551600658
xerces,1.2.0,1.3.0,svm,baseline,0.1613636363636363,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8300220750551877,0.0941176470588235,0.5133605072463768,0.0520166513408423,0.25,0.0579710144927536,0.96875,0.03125,0.333518502869055,0.2369797887792439,0.8363961596860926
ant,1.3,1.4,knn,mutation,0.3,{'classification__n_neighbors': 5},0.6797752808988764,0.3132530120481927,0.553804347826087,0.1049338951235674,0.3023255813953488,0.325,0.782608695652174,0.217391304347826,0.4985600837557659,0.5043290851090749,0.6583085503455617
ant,1.3,1.4,naive_bayes,mutation,0.3,{},0.6853932584269663,0.3170731707317073,0.5574275362318839,0.1129082352961649,0.3095238095238095,0.325,0.7898550724637681,0.2101449275362318,0.5001070661785625,0.5066585621014655,0.6630464051816618
ant,1.3,1.4,decision_tree,mutation,0.3,{'classification__criterion': 'entropy'; 'classification__max_depth': 7; 'classification__max_features': 'log2'},0.5842696629213483,0.2599999999999999,0.4922101449275363,-0.01375663718836,0.2166666666666666,0.325,0.6594202898550725,0.3405797101449275,0.4653882067507289,0.4629380025477478,0.5949623127376162
ant,1.3,1.4,random_forest,mutation,0.3,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 20},0.7359550561797753,0.2985074626865671,0.5634057971014493,0.1475564320795017,0.3703703703703703,0.25,0.8768115942028986,0.1231884057971014,0.4625637789826446,0.4681910919173117,0.7205384770035076
ant,1.3,1.4,svm,mutation,0.3,{'classification__coef0': 3; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7471910112359551,0.3076923076923077,0.5706521739130435,0.169749828461105,0.4,0.25,0.8913043478260869,0.108695652173913,0.4641293323937612,0.4720445815349666,0.7320754452391026
ant,1.3,1.5,knn,mutation,0.3,{'classification__n_neighbors': 5},0.8088737201365188,0.3333333333333333,0.6459530651340996,0.2383023171979071,0.2692307692307692,0.4375,0.8544061302681992,0.1455938697318007,0.589144900905757,0.6113940480511216,0.7964451413143903
