Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp,fnr
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 1.0},0.7692307692307693,0.4,0.625,0.4330127018922193,1.0,0.25,1.0,0.0,0.4696699141100894,0.5,0.7547576657264995,0.4807692307692308,18,0,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.8,0.5454545454545454,0.6865079365079365,0.4568492774238467,0.75,0.4285714285714285,0.9444444444444444,0.0555555555555555,0.5940338487028849,0.6362090102803517,0.7479395565464589,0.4814285714285714,17,1,4,3,0.5714285714285714
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 5; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.84,0.6,0.7142857142857143,0.5921565254637922,1.0,0.4285714285714285,1.0,0.0,0.5959389821791157,0.6546536707079771,0.802846395157571,0.5885714285714285,18,0,4,3,0.5714285714285714
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{'classification__learning_rate': 0.2; 'classification__max_depth': 3; 'classification__n_estimators': 200; 'classification__subsample': 1.0},0.68,0.5,0.6323529411764706,0.2647058823529412,0.5,0.5,0.7647058823529411,0.2352941176470588,0.6092549924827524,0.6183469424008423,0.5853658536585366,0.41,13,4,4,4,0.5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{'classification__learning_rate': 0.1; 'classification__max_depth': 3; 'classification__n_estimators': 200; 'classification__subsample': 1.0},0.76,0.5714285714285714,0.6911764705882353,0.4176201680321031,0.6666666666666666,0.5,0.8823529411764706,0.1176470588235294,0.6367914989638686,0.6642111641550715,0.6756217328783778,0.4933333333333333,15,2,4,4,0.5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,1,{'classification__learning_rate': 0.01; 'classification__max_depth': 5; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.7640449438202247,0.125,0.5193840579710145,0.0781042704808685,0.375,0.075,0.9637681159420288,0.036231884057971,0.3454246607828896,0.2688542517715726,0.7792489742548003,0.2359901685393258,133,5,37,3,0.925
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.7307692307692307,0.3636363636363636,0.5972222222222222,0.2809003238667948,0.6666666666666666,0.25,0.0,0.0555555555555555,0.4682169522478709,0.4859126579037751,0.706129438934808,0.3974358974358974,17,1,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.68,0.5,0.6468253968253967,0.2746851652988806,0.4444444444444444,0.5714285714285714,0.0,0.2777777777777778,0.6388670859538585,0.642416074439621,0.5887552745894608,0.3739682539682539,13,5,3,4,0.42857142857142855
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.5},0.76,0.4,0.615079365079365,0.3180099858972217,0.6666666666666666,0.2857142857142857,0.0,0.0555555555555555,0.4933983313362758,0.5194624816493197,0.7285087659763144,0.3904761904761905,17,1,5,2,0.7142857142857143
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.64,0.3076923076923077,0.5367647058823529,0.0857492925712544,0.4,0.25,0.0,0.1764705882352941,0.4551872484458029,0.453742606486515,0.6073733934116561,0.3399999999999999,14,3,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.64,0.3076923076923077,0.5367647058823529,0.0857492925712544,0.4,0.25,0.0,0.1764705882352941,0.4551872484458029,0.453742606486515,0.6073733934116561,0.3399999999999999,14,3,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,1,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.7134831460674157,0.3544303797468354,0.5844202898550724,0.1703753142374339,0.358974358974359,0.35,0.8188405797101449,0.181159420289855,0.522863365711793,0.5353449382394034,0.6850553486500555,0.2717084413713627,113,25,26,14,0.65
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__n_neighbors': 5},0.8076923076923077,0.5454545454545454,0.6875,0.5417363388859614,1.0,0.375,1.0,0.0,0.5580582617584078,0.6123724356957946,0.7711676767314352,0.5673076923076923,18,0,5,3,0.625
